Time(s) | Speed(km/h) | RPM | Gear | Torque(Nm) | Power(HP)
008.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
009.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
009.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
009.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
009.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
009.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
010.02 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
010.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
010.42 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
010.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
010.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
011.02 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
011.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
011.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
011.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
011.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
012.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
012.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
012.42 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
012.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
012.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
013.03 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
013.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
013.43 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
013.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
013.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
014.02 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
014.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
014.42 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
014.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
014.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
015.03 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
015.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
015.42 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
015.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
015.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
016.02 | 000 km/h | 1577 RPM |  N | 113 Nm | 025 HP
016.22 | 000 km/h | 3467 RPM |  N | 195 Nm | 096 HP
016.42 | 000 km/h | 3376 RPM |  N | 000 Nm | 000 HP
016.62 | 000 km/h | 2772 RPM |  N | 195 Nm | 076 HP
016.82 | 000 km/h | 4548 RPM |  N | 195 Nm | 126 HP
017.01 | 000 km/h | 6466 RPM |  N | 174 Nm | 160 HP
017.21 | 000 km/h | 6376 RPM |  N | 000 Nm | 000 HP
017.41 | 000 km/h | 5193 RPM |  N | 000 Nm | 000 HP
017.61 | 000 km/h | 3993 RPM |  N | 000 Nm | 000 HP
017.81 | 000 km/h | 2793 RPM |  N | 000 Nm | 000 HP
018.01 | 000 km/h | 1593 RPM |  N | 000 Nm | 000 HP
018.21 | 000 km/h | 0824 RPM |  N | 000 Nm | 000 HP
018.40 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
018.60 | 000 km/h | 2037 RPM |  N | 145 Nm | 042 HP
018.80 | 000 km/h | 2449 RPM |  N | 174 Nm | 060 HP
019.00 | 000 km/h | 4307 RPM |  N | 195 Nm | 119 HP
019.20 | 000 km/h | 6148 RPM |  N | 120 Nm | 105 HP
019.40 | 000 km/h | 5367 RPM |  N | 000 Nm | 000 HP
019.60 | 000 km/h | 4383 RPM |  N | 130 Nm | 081 HP
019.80 | 000 km/h | 5629 RPM |  N | 000 Nm | 000 HP
020.00 | 000 km/h | 4630 RPM |  N | 000 Nm | 000 HP
020.20 | 000 km/h | 3433 RPM |  N | 000 Nm | 000 HP
020.40 | 000 km/h | 2233 RPM |  N | 000 Nm | 000 HP
020.60 | 000 km/h | 1033 RPM |  N | 000 Nm | 000 HP
020.80 | 000 km/h | 0803 RPM |  N | 000 Nm | 000 HP
021.00 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
021.20 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
021.40 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
021.60 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
021.80 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
022.00 | 000 km/h | 1881 RPM |  N | 134 Nm | 036 HP
022.20 | 000 km/h | 3786 RPM |  N | 195 Nm | 105 HP
022.40 | 000 km/h | 5706 RPM |  N | 190 Nm | 154 HP
022.60 | 000 km/h | 7548 RPM |  N | 101 Nm | 108 HP
022.80 | 000 km/h | 6767 RPM |  N | 000 Nm | 000 HP
023.00 | 000 km/h | 5954 RPM |  N | 185 Nm | 157 HP
023.20 | 000 km/h | 7597 RPM |  N | 150 Nm | 162 HP
023.39 | 000 km/h | 7219 RPM |  N | 000 Nm | 000 HP
023.59 | 000 km/h | 6111 RPM |  N | 060 Nm | 052 HP
023.79 | 000 km/h | 6817 RPM |  N | 000 Nm | 000 HP
023.99 | 000 km/h | 5712 RPM |  N | 000 Nm | 000 HP
024.19 | 000 km/h | 5538 RPM |  N | 194 Nm | 153 HP
024.39 | 000 km/h | 7387 RPM |  N | 155 Nm | 163 HP
024.59 | 000 km/h | 7216 RPM |  N | 000 Nm | 000 HP
024.79 | 000 km/h | 6033 RPM |  N | 000 Nm | 000 HP
024.98 | 000 km/h | 4833 RPM |  N | 000 Nm | 000 HP
025.18 | 000 km/h | 3633 RPM |  N | 000 Nm | 000 HP
025.38 | 000 km/h | 2433 RPM |  N | 000 Nm | 000 HP
025.58 | 000 km/h | 1233 RPM |  N | 000 Nm | 000 HP
025.78 | 000 km/h | 0806 RPM |  N | 000 Nm | 000 HP
025.98 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
026.17 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
026.37 | 000 km/h | 1289 RPM |  N | 093 Nm | 017 HP
026.57 | 000 km/h | 3147 RPM |  N | 195 Nm | 087 HP
026.77 | 000 km/h | 5066 RPM |  N | 195 Nm | 140 HP
026.97 | 000 km/h | 6986 RPM |  N | 163 Nm | 162 HP
027.17 | 000 km/h | 7878 RPM |  N | 144 Nm | 162 HP
027.37 | 000 km/h | 7893 RPM |  N | 144 Nm | 162 HP
027.57 | 000 km/h | 7721 RPM |  N | 000 Nm | 000 HP
027.77 | 000 km/h | 6592 RPM |  N | 000 Nm | 000 HP
027.96 | 000 km/h | 5393 RPM |  N | 000 Nm | 000 HP
028.16 | 000 km/h | 4193 RPM |  N | 000 Nm | 000 HP
028.36 | 000 km/h | 2993 RPM |  N | 000 Nm | 000 HP
028.56 | 000 km/h | 1793 RPM |  N | 000 Nm | 000 HP
028.76 | 000 km/h | 0849 RPM |  N | 000 Nm | 000 HP
028.96 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
029.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
029.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
029.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
029.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
029.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
030.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
030.36 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
030.56 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
030.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
030.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
031.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
031.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
031.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
031.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
031.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
032.14 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
032.34 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
032.54 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
032.74 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
032.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
033.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
033.34 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
033.54 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
033.74 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
033.94 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
034.14 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
034.34 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
034.54 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
034.74 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
034.94 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
035.14 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
035.34 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
035.54 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
035.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
035.94 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
036.14 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
036.34 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
036.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
036.74 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
036.94 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
037.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
037.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
037.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
037.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
037.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
038.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
038.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
038.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
038.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
038.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
039.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
039.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
039.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
039.75 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
039.95 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
040.16 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
040.35 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
040.55 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
040.76 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
040.96 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
041.15 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
041.36 | 000 km/h | 0814 RPM | D1 | 016 Nm | 001 HP
041.56 | 009 km/h | 1294 RPM | D1 | 314 Nm | 057 HP
041.76 | 017 km/h | 2195 RPM | D1 | 522 Nm | 163 HP
041.95 | 025 km/h | 3393 RPM | D1 | 650 Nm | 314 HP
042.16 | 032 km/h | 4520 RPM | D1 | 650 Nm | 418 HP
042.36 | 040 km/h | 5622 RPM | D1 | 641 Nm | 513 HP
042.56 | 047 km/h | 6700 RPM | D1 | 565 Nm | 539 HP
042.76 | 050 km/h | 4303 RPM | D2 | 416 Nm | 254 HP
042.96 | 056 km/h | 4705 RPM | D2 | 650 Nm | 435 HP
043.16 | 063 km/h | 5309 RPM | D2 | 650 Nm | 491 HP
043.36 | 070 km/h | 5903 RPM | D2 | 621 Nm | 522 HP
043.56 | 077 km/h | 6484 RPM | D2 | 580 Nm | 536 HP
043.76 | 084 km/h | 7053 RPM | D2 | 540 Nm | 542 HP
043.96 | 086 km/h | 5061 RPM | D3 | 416 Nm | 299 HP
044.17 | 091 km/h | 5308 RPM | D3 | 650 Nm | 491 HP
044.37 | 098 km/h | 5678 RPM | D3 | 637 Nm | 515 HP
044.57 | 104 km/h | 6043 RPM | D3 | 611 Nm | 526 HP
044.77 | 110 km/h | 6400 RPM | D3 | 586 Nm | 534 HP
044.97 | 116 km/h | 6749 RPM | D3 | 561 Nm | 539 HP
045.17 | 122 km/h | 7090 RPM | D3 | 537 Nm | 542 HP
045.36 | 126 km/h | 5514 RPM | D4 | 155 Nm | 122 HP
045.56 | 128 km/h | 5583 RPM | D4 | 644 Nm | 512 HP
045.76 | 134 km/h | 5817 RPM | D4 | 627 Nm | 519 HP
045.96 | 139 km/h | 6054 RPM | D4 | 610 Nm | 526 HP
046.16 | 145 km/h | 6286 RPM | D4 | 594 Nm | 532 HP
046.35 | 150 km/h | 6512 RPM | D4 | 578 Nm | 536 HP
046.55 | 155 km/h | 6734 RPM | D4 | 562 Nm | 539 HP
046.75 | 160 km/h | 6952 RPM | D4 | 547 Nm | 542 HP
046.95 | 165 km/h | 7164 RPM | D4 | 532 Nm | 543 HP
047.15 | 169 km/h | 7372 RPM | D4 | 517 Nm | 543 HP
047.35 | 170 km/h | 5818 RPM | D5 | 552 Nm | 457 HP
047.55 | 175 km/h | 5956 RPM | D5 | 617 Nm | 524 HP
047.75 | 180 km/h | 6110 RPM | D5 | 606 Nm | 528 HP
047.95 | 184 km/h | 6262 RPM | D5 | 596 Nm | 531 HP
048.15 | 188 km/h | 6410 RPM | D5 | 585 Nm | 534 HP
048.34 | 193 km/h | 6555 RPM | D5 | 575 Nm | 537 HP
048.55 | 197 km/h | 6697 RPM | D5 | 565 Nm | 539 HP
048.74 | 201 km/h | 6836 RPM | D5 | 555 Nm | 540 HP
048.94 | 205 km/h | 6972 RPM | D5 | 546 Nm | 542 HP
049.14 | 209 km/h | 7104 RPM | D5 | 536 Nm | 543 HP
049.34 | 212 km/h | 7234 RPM | D5 | 527 Nm | 543 HP
049.54 | 216 km/h | 7362 RPM | D5 | 518 Nm | 543 HP
049.74 | 218 km/h | 5954 RPM | D6 | 346 Nm | 293 HP
049.94 | 221 km/h | 6011 RPM | D6 | 613 Nm | 525 HP
050.14 | 224 km/h | 6108 RPM | D6 | 607 Nm | 528 HP
050.34 | 228 km/h | 6202 RPM | D6 | 600 Nm | 530 HP
050.53 | 231 km/h | 6295 RPM | D6 | 593 Nm | 532 HP
050.73 | 234 km/h | 6386 RPM | D6 | 587 Nm | 534 HP
050.93 | 238 km/h | 6475 RPM | D6 | 581 Nm | 535 HP
051.13 | 241 km/h | 6562 RPM | D6 | 575 Nm | 537 HP
051.33 | 244 km/h | 6647 RPM | D6 | 569 Nm | 538 HP
051.52 | 247 km/h | 6730 RPM | D6 | 563 Nm | 539 HP
051.73 | 250 km/h | 6812 RPM | D6 | 557 Nm | 540 HP
051.93 | 253 km/h | 6891 RPM | D6 | 551 Nm | 541 HP
052.12 | 256 km/h | 6969 RPM | D6 | 546 Nm | 542 HP
052.32 | 258 km/h | 7045 RPM | D6 | 540 Nm | 542 HP
052.52 | 261 km/h | 7120 RPM | D6 | 535 Nm | 543 HP
052.72 | 264 km/h | 7193 RPM | D6 | 530 Nm | 543 HP
052.92 | 266 km/h | 7265 RPM | D6 | 525 Nm | 543 HP
053.12 | 269 km/h | 7334 RPM | D6 | 520 Nm | 543 HP
053.32 | 271 km/h | 7403 RPM | D6 | 515 Nm | 543 HP
053.51 | 273 km/h | 6154 RPM | D7 | 289 Nm | 254 HP
053.72 | 274 km/h | 6183 RPM | D7 | 601 Nm | 529 HP
053.92 | 277 km/h | 6236 RPM | D7 | 598 Nm | 531 HP
054.11 | 279 km/h | 6288 RPM | D7 | 594 Nm | 532 HP
054.31 | 281 km/h | 6340 RPM | D7 | 590 Nm | 533 HP
054.51 | 284 km/h | 6390 RPM | D7 | 587 Nm | 534 HP
054.71 | 286 km/h | 6440 RPM | D7 | 583 Nm | 535 HP
054.90 | 288 km/h | 6488 RPM | D7 | 580 Nm | 536 HP
055.10 | 290 km/h | 6535 RPM | D7 | 576 Nm | 536 HP
055.30 | 292 km/h | 6581 RPM | D7 | 573 Nm | 537 HP
055.49 | 294 km/h | 6626 RPM | D7 | 570 Nm | 538 HP
055.69 | 296 km/h | 6670 RPM | D7 | 567 Nm | 538 HP
055.90 | 298 km/h | 6714 RPM | D7 | 564 Nm | 539 HP
056.10 | 300 km/h | 6756 RPM | D7 | 561 Nm | 540 HP
056.29 | 302 km/h | 6797 RPM | D7 | 558 Nm | 540 HP
056.49 | 303 km/h | 6838 RPM | D7 | 555 Nm | 540 HP
056.69 | 305 km/h | 6877 RPM | D7 | 552 Nm | 541 HP
056.90 | 307 km/h | 6916 RPM | D7 | 550 Nm | 541 HP
057.09 | 309 km/h | 6954 RPM | D7 | 547 Nm | 542 HP
057.29 | 306 km/h | 6915 RPM | D7 | 000 Nm | 000 HP
057.49 | 303 km/h | 6848 RPM | D7 | 000 Nm | 000 HP
057.69 | 300 km/h | 6780 RPM | D7 | 000 Nm | 000 HP
057.89 | 297 km/h | 6713 RPM | D7 | 000 Nm | 000 HP
058.09 | 294 km/h | 6645 RPM | D7 | 000 Nm | 000 HP
058.29 | 291 km/h | 6578 RPM | D7 | 000 Nm | 000 HP
058.49 | 288 km/h | 6510 RPM | D7 | 000 Nm | 000 HP
058.69 | 285 km/h | 6442 RPM | D7 | 000 Nm | 000 HP
058.89 | 282 km/h | 6375 RPM | D7 | 000 Nm | 000 HP
059.09 | 279 km/h | 6307 RPM | D7 | 000 Nm | 000 HP
059.29 | 276 km/h | 6240 RPM | D7 | 000 Nm | 000 HP
059.49 | 273 km/h | 6172 RPM | D7 | 000 Nm | 000 HP
059.69 | 270 km/h | 6105 RPM | D7 | 000 Nm | 000 HP
059.89 | 267 km/h | 6037 RPM | D7 | 000 Nm | 000 HP
060.09 | 264 km/h | 5970 RPM | D7 | 000 Nm | 000 HP
060.29 | 261 km/h | 5902 RPM | D7 | 000 Nm | 000 HP
060.49 | 258 km/h | 5834 RPM | D7 | 000 Nm | 000 HP
060.69 | 255 km/h | 5767 RPM | D7 | 000 Nm | 000 HP
060.89 | 252 km/h | 5699 RPM | D7 | 000 Nm | 000 HP
061.09 | 249 km/h | 5632 RPM | D7 | 000 Nm | 000 HP
061.29 | 246 km/h | 5564 RPM | D7 | 000 Nm | 000 HP
061.49 | 243 km/h | 5497 RPM | D7 | 000 Nm | 000 HP
061.70 | 240 km/h | 5429 RPM | D7 | 000 Nm | 000 HP
061.90 | 237 km/h | 5361 RPM | D7 | 000 Nm | 000 HP
062.10 | 234 km/h | 5294 RPM | D7 | 000 Nm | 000 HP
062.30 | 231 km/h | 5226 RPM | D7 | 000 Nm | 000 HP
062.50 | 228 km/h | 5159 RPM | D7 | 000 Nm | 000 HP
062.70 | 225 km/h | 5091 RPM | D7 | 000 Nm | 000 HP
062.90 | 222 km/h | 5024 RPM | D7 | 000 Nm | 000 HP
063.10 | 219 km/h | 4956 RPM | D7 | 000 Nm | 000 HP
063.30 | 216 km/h | 4888 RPM | D7 | 000 Nm | 000 HP
063.50 | 213 km/h | 4821 RPM | D7 | 000 Nm | 000 HP
063.70 | 210 km/h | 4753 RPM | D7 | 000 Nm | 000 HP
063.90 | 207 km/h | 4686 RPM | D7 | 000 Nm | 000 HP
064.10 | 204 km/h | 4618 RPM | D7 | 000 Nm | 000 HP
064.30 | 201 km/h | 4551 RPM | D7 | 000 Nm | 000 HP
064.50 | 184 km/h | 4283 RPM | D7 | 000 Nm | 000 HP
064.70 | 168 km/h | 3900 RPM | D7 | 000 Nm | 000 HP
064.90 | 138 km/h | 3250 RPM | D7 | 000 Nm | 000 HP
065.10 | 108 km/h | 2574 RPM | D7 | 000 Nm | 000 HP
065.30 | 105 km/h | 2390 RPM | D7 | 000 Nm | 000 HP
065.50 | 102 km/h | 2321 RPM | D7 | 000 Nm | 000 HP
065.70 | 099 km/h | 2253 RPM | D7 | 000 Nm | 000 HP
065.90 | 096 km/h | 2186 RPM | D7 | 000 Nm | 000 HP
066.10 | 093 km/h | 2118 RPM | D7 | 000 Nm | 000 HP
066.30 | 090 km/h | 2051 RPM | D7 | 000 Nm | 000 HP
066.50 | 087 km/h | 1983 RPM | D7 | 000 Nm | 000 HP
066.70 | 084 km/h | 1915 RPM | D7 | 000 Nm | 000 HP
066.90 | 081 km/h | 1848 RPM | D7 | 000 Nm | 000 HP
067.10 | 079 km/h | 2177 RPM | D6 | 000 Nm | 000 HP
067.30 | 077 km/h | 2118 RPM | D6 | 000 Nm | 000 HP
067.50 | 074 km/h | 2036 RPM | D6 | 000 Nm | 000 HP
067.70 | 071 km/h | 1955 RPM | D6 | 000 Nm | 000 HP
067.91 | 068 km/h | 1873 RPM | D6 | 000 Nm | 000 HP
068.11 | 065 km/h | 2247 RPM | D5 | 000 Nm | 000 HP
068.31 | 063 km/h | 2191 RPM | D5 | 000 Nm | 000 HP
068.51 | 060 km/h | 2090 RPM | D5 | 000 Nm | 000 HP
068.70 | 057 km/h | 1987 RPM | D5 | 000 Nm | 000 HP
068.90 | 054 km/h | 1885 RPM | D5 | 000 Nm | 000 HP
069.10 | 052 km/h | 2302 RPM | D4 | 000 Nm | 000 HP
069.30 | 050 km/h | 2220 RPM | D4 | 000 Nm | 000 HP
069.50 | 047 km/h | 2089 RPM | D4 | 000 Nm | 000 HP
069.70 | 044 km/h | 1959 RPM | D4 | 000 Nm | 000 HP
069.90 | 041 km/h | 1828 RPM | D4 | 000 Nm | 000 HP
070.10 | 039 km/h | 2370 RPM | D3 | 000 Nm | 000 HP
070.31 | 036 km/h | 2200 RPM | D3 | 000 Nm | 000 HP
070.51 | 033 km/h | 2024 RPM | D3 | 000 Nm | 000 HP
070.71 | 030 km/h | 1848 RPM | D3 | 000 Nm | 000 HP
070.91 | 029 km/h | 2562 RPM | D2 | 000 Nm | 000 HP
071.11 | 026 km/h | 2315 RPM | D2 | 000 Nm | 000 HP
071.31 | 023 km/h | 2059 RPM | D2 | 000 Nm | 000 HP
071.50 | 021 km/h | 3045 RPM | D1 | 000 Nm | 000 HP
071.71 | 019 km/h | 2849 RPM | D1 | 000 Nm | 000 HP
071.91 | 016 km/h | 2421 RPM | D1 | 000 Nm | 000 HP
072.10 | 013 km/h | 1743 RPM | D1 | 000 Nm | 000 HP
072.30 | 010 km/h | 1519 RPM | D1 | 000 Nm | 000 HP
072.50 | 007 km/h | 1319 RPM | D1 | 000 Nm | 000 HP
072.70 | 004 km/h | 1119 RPM | D1 | 000 Nm | 000 HP
072.90 | 001 km/h | 0919 RPM | D1 | 000 Nm | 000 HP
073.10 | 000 km/h | 0803 RPM | D1 | 000 Nm | 000 HP
073.30 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
073.50 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
073.70 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
073.90 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
074.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
074.29 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
074.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
074.69 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
074.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
076.90 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
077.10 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
077.30 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
077.50 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
077.69 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
077.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
078.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
078.29 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
078.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
078.69 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
078.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
079.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
079.28 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
